
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:19:11 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-AUG-14      30203	   1697
24-AUG-14      30218	   2302
03-SEP-14	1031	     67
09-SEP-14	1031	     73
17-AUG-14      30218	   1826
01-SEP-14      30219	    284
04-SEP-14	1031	     68
08-SEP-14	1003	      6
16-AUG-14      30219	    209
15-AUG-14	1003	      9
15-AUG-14	1031	     41

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-AUG-14	1003	     10
19-AUG-14      30219	    768
26-AUG-14      30219	    681
27-AUG-14      30219	    569
28-AUG-14	3000	    150
12-AUG-14      10815	    988
14-AUG-14      10815	    958
20-AUG-14      10815	   1004
24-AUG-14      10815	   1056
28-AUG-14	1003	      8
04-SEP-14      10815	   1185

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
14-AUG-14	1003	      5
16-AUG-14      30203	      1
26-AUG-14	3000	    151
04-SEP-14	3000	     77
16-SEP-14	1031	     97
18-SEP-14	3000	    127
22-SEP-14      30218	   1527
25-SEP-14      30203	    638
30-SEP-14      30218	   1746
07-OCT-14      30218	   2337
08-OCT-14      30218	   4451

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
08-OCT-14      30728	   3482
08-OCT-14      10815	   1815
09-OCT-14      30728	   2449
09-OCT-14	3000	    140
03-OCT-14	3000	    201
26-SEP-14      30219	    237
08-OCT-14      10040	   1743
19-SEP-14      30219	    235
19-SEP-14	1031	     65
14-SEP-14	3000	     94
06-OCT-14      30219	    386

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-SEP-14	1003	      7
29-SEP-14	1031	      7
30-SEP-14	3000	     63
21-SEP-14      30728	    537
26-SEP-14      30728	    553
28-SEP-14      30728	    755
29-SEP-14      30728	    642
25-SEP-14      30728	    651
01-OCT-14      30728	    610
25-SEP-14	1003	      7
06-OCT-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14	1003	      5
21-SEP-14      30203	      1
13-AUG-14      30728	    414
10-AUG-14      30232	      3
22-AUG-14      30728	    321
10-SEP-14      30728	    527
19-AUG-14	1003	      3
04-OCT-14	1003	      8
22-SEP-14	1003	      6
13-AUG-14	1012	     45
15-AUG-14	1012	     36

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
28-AUG-14	1012	     19
05-SEP-14	1012	     23
06-SEP-14	1012	     29
13-SEP-14	1012	     12
23-SEP-14	1012	     11
03-SEP-14	1003	     10
28-SEP-14	1012	      4
29-SEP-14	1012	     12
07-OCT-14	1012	     19
03-OCT-14	1003	      4
14-AUG-14      30203	    294

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14      10036	 236258
09-SEP-14      10036	 122606
18-SEP-14      10036	 120160
05-OCT-14      10036	 125677
17-AUG-14	3000	    194
26-AUG-14      30218	   2002
03-SEP-14      30218	   3594
01-SEP-14      30218	   3091
05-SEP-14      30218	   6617
07-SEP-14      30218	  11551
04-SEP-14	1003	     11

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
07-SEP-14      30219	    229
02-SEP-14	1003	      5
04-SEP-14      30728	    504
13-AUG-14	1031	     38
02-SEP-14      30203	      5
14-AUG-14	3000	    139
23-AUG-14      10815	   1173
27-AUG-14      10815	   1063
29-AUG-14      10815	   1220
06-SEP-14      10815	   1175
08-SEP-14      10815	   1289

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-AUG-14	1003	      5
05-SEP-14      30203	      1
10-SEP-14      30203	   2288
14-SEP-14      30218	   1335
12-SEP-14	1031	     63
16-SEP-14      30218	   1787
15-SEP-14      30219	    442
21-SEP-14      10815	    993
28-SEP-14      30218	   1656
24-SEP-14	1031	     70
27-SEP-14      30218	   1580

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
01-OCT-14      30218	   1278
04-OCT-14      30203	    833
03-OCT-14      30218	    947
05-OCT-14	1031	      7
09-OCT-14      10815	    479
03-OCT-14	1031	      5
20-SEP-14      30219	    183
17-SEP-14      30219	    511
02-OCT-14      30219	    483
27-SEP-14	1031	      2
06-OCT-14	1031	      8

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-SEP-14	3000	    117
15-SEP-14	3000	    123
05-OCT-14	3000	    136
18-SEP-14      30728	    768
27-SEP-14      30728	    953
02-OCT-14      30728	    747
08-OCT-14	3000	    198
12-AUG-14      30728	    336
18-AUG-14      30728	    433
25-AUG-14	3000	    124
09-SEP-14      30728	    472

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
11-SEP-14      30728	    405
11-SEP-14	1003	      5
16-AUG-14	1012	     21
30-AUG-14	1012	     12
04-SEP-14	1012	     31
17-SEP-14	1012	     19
14-SEP-14	1012	     16
22-SEP-14	1012	     67
24-SEP-14	1012	     15
02-OCT-14	1012	     17
09-OCT-14	1012	     20

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
20-AUG-14      10036	 233852
21-AUG-14      10036	 236160
27-AUG-14      10036	 131874
04-SEP-14      10036	 122947
04-OCT-14      10036	 164938
14-AUG-14      30218	   1950
18-AUG-14      30219	    476
22-AUG-14	1031	     60
25-AUG-14      30219	    463
30-AUG-14      30203	    702
28-AUG-14      30203	   1163

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
30-AUG-14	1003	     13
08-SEP-14	1031	     78
16-AUG-14      30218	   1822
21-AUG-14	1031	     42
19-AUG-14	1031	     40
16-AUG-14	1003	      5
15-AUG-14      30219	    577
21-AUG-14      30219	    456
29-AUG-14	3000	    145
02-SEP-14      30219	    521
11-AUG-14      30203	      2

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-AUG-14      30219	    218
03-SEP-14	3000	    126
29-AUG-14      30219	    626
30-AUG-14	3000	    198
19-AUG-14      10815	   1254
19-AUG-14	3000	    166
25-AUG-14      10815	   1384
01-SEP-14      10815	   1108
26-AUG-14	1003	      8
24-AUG-14	1003	      9
23-AUG-14	3000	     85

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-SEP-14	3000	    109
15-SEP-14      30218	   1919
17-SEP-14      30218	   1432
22-SEP-14	1031	     76
23-SEP-14      30218	   1531
27-SEP-14      10815	   1407
01-OCT-14      10815	   1350
01-OCT-14      30203	    491
02-OCT-14      30203	    696
29-SEP-14      30218	   1552
06-OCT-14      30728	   1678

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14      30219	    626
20-SEP-14	1003	      4
01-OCT-14      30232	      4
23-SEP-14      30219	    305
24-SEP-14	3000	   1336
09-OCT-14      10040	    431
18-SEP-14      30219	    274
10-SEP-14	1003	     15
19-SEP-14      30728	   1039
24-SEP-14      30728	    618
29-SEP-14	3000	    162

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-SEP-14	3000	     92
11-SEP-14      10815	   1435
16-SEP-14      10815	   1073
15-SEP-14      10815	   1227
04-OCT-14	1031	     10
07-OCT-14	3000	    114
22-SEP-14	3000	    116
01-OCT-14	1031	      9
04-OCT-14	3000	    177
24-AUG-14      30728	    321
25-AUG-14      30728	    399

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-AUG-14      30728	    384
28-AUG-14      30728	    385
14-SEP-14      30728	    322
13-SEP-14      30728	    403
12-SEP-14      30728	    469
16-AUG-14	3000	    121
31-AUG-14	1003	      9
14-SEP-14      30203	      1
01-SEP-14      30232	      1
22-AUG-14      30203	      3
27-SEP-14	1003	     12

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
18-AUG-14	1012	      8
22-AUG-14	1012	     41
21-AUG-14	1012	     40
14-AUG-14      30232	      1
20-AUG-14	1003	      3
29-AUG-14	1003	     26
09-SEP-14	1012	     14
08-SEP-14	1012	     17
10-SEP-14	1012	     18
11-SEP-14	1012	     29
02-SEP-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-SEP-14	1012	     22
30-SEP-14	1012	     15
01-OCT-14	1012	     18
09-OCT-14	1000	      1
17-AUG-14      10036	 204652
18-AUG-14      10036	 228598
19-AUG-14      10036	 230334
31-AUG-14      10036	  81658
02-SEP-14      10036	  81516
13-SEP-14      10036	 114268
16-SEP-14      10036	 119022

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-SEP-14      10036	 123941
25-SEP-14      10036	 121200
28-SEP-14      10036	 115723
01-OCT-14      10036	 105321
02-OCT-14      10036	 110401
06-OCT-14      10036	  98543
12-AUG-14      30203	      4
13-AUG-14      30218	   1343
24-AUG-14	1031	     81
30-AUG-14      30218	  15925
28-AUG-14      30218	   3275

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
29-AUG-14      30218	   6862
31-AUG-14      30218	   2206
02-SEP-14      30218	   2183
06-SEP-14      30218	  14392
21-AUG-14	1003	     11
28-AUG-14	1031	     72
29-AUG-14	1031	     58
31-AUG-14	1031	     54
10-SEP-14	1031	     80
17-AUG-14	1003	      9
08-SEP-14	3000	    152

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-AUG-14      30219	    108
17-AUG-14      30219	    198
03-SEP-14      30203	      1
11-AUG-14      10815	    876
05-SEP-14      10815	   1409
13-AUG-14	3000	    154
11-AUG-14	3000	    175
03-SEP-14      30728	    359
14-SEP-14	1031	    193
17-SEP-14	1031	     81
18-SEP-14      10815	   1274

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-SEP-14      30218	   1257
21-SEP-14	1031	     83
25-SEP-14      10815	   1484
28-SEP-14      10815	   1136
05-OCT-14      30203	    487
04-OCT-14      30219	    191
08-OCT-14      30219	    512
22-SEP-14      30219	    269
12-SEP-14      30219	    563
13-SEP-14      30219	    218
23-SEP-14	1031	    107

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
28-SEP-14	1031	     10
01-OCT-14	3000	    134
30-SEP-14      30219	    360
17-SEP-14	1003	      7
02-OCT-14	3000	    138
26-SEP-14	3000	     98
20-SEP-14      30728	    630
17-SEP-14      10815	   1374
18-SEP-14	1003	      3
23-SEP-14	1003	      6
12-SEP-14	1003	      3

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14	1031	      7
11-SEP-14	3000	     92
09-OCT-14	1030	      1
17-AUG-14      30728	    340
30-AUG-14      30728	    559
07-SEP-14      30728	    493
11-SEP-14      30232	      4
15-SEP-14	1003	      1
18-SEP-14      30232	      1
02-OCT-14	1031	      6
12-AUG-14	1012	     55

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
