
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:19:29 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-AUG-14      30218	   1645
16-AUG-14      30219	    107
14-AUG-14      30203	    775
15-AUG-14	1031	     67
14-AUG-14	1003	      6
19-AUG-14      30219	    123
26-AUG-14      30219	     89
24-AUG-14      30218	   1573
28-AUG-14	3000	    176
27-AUG-14      30219	    107
03-SEP-14	1031	     68

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
04-SEP-14	1031	     83
10-AUG-14      30232	      1
01-SEP-14      30219	    100
04-SEP-14	3000	    236
24-AUG-14      10815	   4677
26-AUG-14	3000	    263
14-AUG-14      10815	    763
15-AUG-14	1003	      7
12-AUG-14      10815	    806
20-AUG-14      10815	    577
19-AUG-14	1003	      8

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
16-SEP-14	1031	    105
19-SEP-14	1031	     82
22-SEP-14      30218	   1359
25-SEP-14      30203	    665
30-SEP-14      30218	    727
26-SEP-14      30219	    138
29-SEP-14	1031	      7
03-OCT-14	3000	    371
09-SEP-14	1031	     81
19-SEP-14      30219	     73
18-SEP-14	3000	    205

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14	1003	      5
04-SEP-14      10815	    740
25-SEP-14	1003	      5
08-SEP-14	1003	     19
18-SEP-14      30203	      1
14-SEP-14	3000	    138
22-SEP-14	1003	     19
10-SEP-14      30728	    188
19-SEP-14	1003	      8
21-SEP-14      30728	    187
25-SEP-14      30728	    240

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14      30728	    157
28-SEP-14      30728	    221
01-OCT-14      30728	    137
29-SEP-14      30728	    185
03-OCT-14	1003	     16
30-SEP-14	3000	    102
07-OCT-14      30218	   4274
06-OCT-14      30219	     63
08-OCT-14      10040	  13680
08-OCT-14      30218	   5340
08-OCT-14      10815	   1360

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
08-OCT-14      30728	   4567
09-OCT-14      30728	   2234
09-OCT-14	3000	    200
04-OCT-14	1003	      7
13-AUG-14	1003	     11
13-AUG-14      30728	     45
28-AUG-14	1003	      9
26-AUG-14      30232	      1
22-AUG-14      30728	     34
10-AUG-14      30203	      1
03-SEP-14	1003	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14      30728	     71
17-AUG-14	3000	    172
26-AUG-14      30218	   2139
29-AUG-14      10815	    679
01-SEP-14      30218	   2524
03-SEP-14      30218	   3557
13-AUG-14	1031	     47
23-AUG-14	1003	     13
23-AUG-14      10815	    709
27-AUG-14      10815	    518
04-SEP-14      30728	    206

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
14-AUG-14	3000	    218
25-AUG-14	3000	    208
02-SEP-14      30203	      5
18-AUG-14      30728	     24
05-SEP-14      30218	   8426
07-SEP-14      30218	  12796
07-SEP-14      30219	     93
14-SEP-14      30218	   1291
16-SEP-14      30218	   1371
17-SEP-14      30219	    119
19-SEP-14	3000	    202

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-SEP-14      10815	    725
20-SEP-14      30219	     73
24-SEP-14	1031	     73
27-SEP-14      30218	   2320
28-SEP-14      30218	   1440
01-OCT-14      30218	   1039
03-OCT-14      30218	   1938
15-SEP-14      30219	    104
15-SEP-14	3000	    151
02-OCT-14      30219	     67
12-SEP-14	1031	     48

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-SEP-14      30203	      3
06-SEP-14      10815	    741
08-SEP-14      10815	    823
09-SEP-14      30728	    195
11-SEP-14      30728	    151
18-SEP-14      30728	    144
27-SEP-14      30728	    371
02-OCT-14      30728	    191
27-SEP-14	1031	      4
04-OCT-14      30203	   2236
08-OCT-14	3000	    224

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
09-OCT-14      10815	    416
05-OCT-14	3000	    115
06-OCT-14	1031	      8
05-OCT-14	1031	      8
05-SEP-14      30203	      1
04-SEP-14	1003	     12
02-SEP-14	1003	      4
03-OCT-14	1031	      9
11-SEP-14	1003	     14
15-AUG-14      30219	    137
16-AUG-14      30218	   1873

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
14-AUG-14      30218	   2139
16-AUG-14	3000	    183
21-AUG-14      30219	     86
18-AUG-14      30219	    124
19-AUG-14	3000	    189
19-AUG-14	1031	     64
25-AUG-14      30219	     97
23-AUG-14      30219	    164
22-AUG-14	1031	     55
28-AUG-14      30203	   3174
29-AUG-14      30219	    111

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
30-AUG-14      30203	   1055
02-SEP-14      30219	     71
03-SEP-14	3000	    219
21-AUG-14	1031	     43
30-AUG-14	3000	    263
29-AUG-14	3000	    237
29-AUG-14	1003	     11
25-AUG-14      10815	    588
26-AUG-14	1003	      4
19-AUG-14      10815	    737
01-SEP-14      10815	    624

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-AUG-14	3000	    132
20-AUG-14	1003	      7
16-AUG-14	1003	      8
24-AUG-14	1003	      9
08-SEP-14	1031	     68
15-SEP-14      30218	   1561
16-SEP-14      10815	   1010
17-SEP-14      30218	   1913
18-SEP-14      30219	    108
22-SEP-14	1031	     70
23-SEP-14      30218	   1188

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-SEP-14      10815	   1205
29-SEP-14      30218	   1003
02-OCT-14      30203	   1488
01-OCT-14      10815	   1023
01-OCT-14      30203	   1223
23-SEP-14      30219	     76
20-SEP-14	1003	      6
03-OCT-14      30219	    137
04-OCT-14	1031	      6
22-SEP-14	3000	    183
23-SEP-14	3000	    179

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
04-OCT-14	3000	    157
15-SEP-14      10815	   1054
11-SEP-14      10815	    742
13-SEP-14	3000	    160
29-SEP-14	3000	    136
27-SEP-14	1003	     13
12-SEP-14      30728	    308
13-SEP-14      30728	    210
14-SEP-14      30728	    156
19-SEP-14      30728	    212
24-SEP-14      30728	    190

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
24-SEP-14	3000	    178
01-OCT-14	1031	      2
09-OCT-14      10040	   3712
06-OCT-14      30728	   3035
07-OCT-14	3000	    199
11-AUG-14      30203	      5
30-AUG-14	1003	     10
27-AUG-14      30728	     95
28-AUG-14      30728	     60
31-AUG-14	1003	      6
10-SEP-14	1003	     13

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
11-AUG-14      10040	     14
25-AUG-14      30728	     17
24-AUG-14      30728	     18
09-OCT-14	1000	      1
11-AUG-14	3000	    228
10-AUG-14      30219	     48
17-AUG-14      30219	     86
13-AUG-14      30218	   2289
24-AUG-14	1031	     76
29-AUG-14      30218	   6330
28-AUG-14      30218	   3465

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
30-AUG-14      30218	  15730
31-AUG-14      30218	   1393
02-SEP-14      30218	   1958
17-AUG-14	1003	      5
28-AUG-14	1031	     62
13-AUG-14	3000	    203
29-AUG-14	1031	     46
31-AUG-14	1031	     60
03-SEP-14      30203	      1
11-AUG-14      10815	    700
03-SEP-14      30728	    150

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-AUG-14	1003	      6
06-SEP-14      30218	  17475
08-SEP-14	3000	    166
10-SEP-14	1031	     94
