Document type - Key	G/L Accounts - Key (Not Compounded)	Amount	Company code - Key	Cal. year / month - Key	Document Date - Key	Document Header Text - Key	Asset - Key	Item - Key
Y4	4080401	-0.4	0296	07/2017	08/01/2017	GLOUTY420170801010202	0296/#	7
Y4	4080401	-0.02	0347	07/2017	08/01/2017	GLOUTY420170801010202	0347/#	17
Y4	4080401	-0.02	0388	07/2017	08/01/2017	GLOUTY420170801010202	0388/#	15
Y4	4080401	-3.28	0424	07/2017	08/01/2017	GLOUTY420170801010202	0424/#	7
Y4	4080401	-0.3	0425	07/2017	08/01/2017	GLOUTY420170801010202	0425/#	7
Y4	4080401	-0.26	0434	07/2017	08/01/2017	GLOUTY420170801010202	0434/#	16
Y4	4080401	-1.68	0444	07/2017	08/01/2017	GLOUTY420170801010202	0444/#	7
Y4	4080401	-0.05	0556	07/2017	08/01/2017	GLOUTY420170801010202	0556/#	7
Y4	4080401	-0.08	0757	07/2017	08/01/2017	GLOUTY420170801010202	0757/#	7
Y4	4080401	-0.25	0764	07/2017	08/01/2017	GLOUTY420170801010202	0764/#	7
Y4	4080401	-0.06	0775	07/2017	08/01/2017	GLOUTY420170801010202	0775/#	6
Y4	4080401	-0.21	0853	07/2017	08/01/2017	GLOUTY420170801010202	0853/#	7
Y4	4080401	-0.02	0855	07/2017	08/01/2017	GLOUTY420170801010202	0855/#	6
Y4	5410101	-6197.73	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	3
Y4	5410101	-91.85	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	6
Y4	5410101	-166.53	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	9
Y4	5410101	-20.34	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	12
Y4	5410101	-22.52	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	15
Y4	5410101	-0.24	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	18
Y4	5410101	-0.03	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	21
Y4	5410101	-13.89	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	24
Y4	5410101	-1	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	31
Y4	5410101	-61.4	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	34
Y4	5410101	-222.43	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	37
Y4	5410101	-2.95	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	42
Y4	5410101	-0.09	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	45
Y4	5410101	-0.99	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	48
Y4	5410101	-15.84	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	51
Y4	5410101	-5.44	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	54
Y4	5410101	-17.8	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	57
Y4	5410101	-0.06	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	60
Y4	5410101	-161.79	0222	07/2017	08/01/2017	GLOUTY420170801010202	0222/#	63
