FILENAME	CLIENT  OPERATOR	SENDER	RECIPIENT	STATUS DESCRIPTION	RECEIVED DATE	RECEIVED TIME	FILE TYPE	FILE SIZE  (BYTES)	TOTAL RECORD COUNT	REJECTED RECORD COUNT	MERGED RECORD COUNT	PARKED RECORD COUNT	FINAL RECORD COUNT	ORIGINAL CHARGE (TAP CURRENCY)	ORIGINAL CHARGE  (LOCAL CURRENCY)	ORIGINAL REJECTED CHARGE  (TAP CURRENCY)	ORIGINAL REJECTED CHARGE  (LOCAL CURRENCY)	CALCULATED CHARGE  (TAP CURRENCY)	CALCULATED CHARGE  (LOCAL CURRENCY)	MERGED CHARGES (TAP CURRENCY)	MERGED CHARGES  (LOCAL CURRENCY)	FINAL CHARGE  (TAP CURRENCY)	FINAL CHARGE  (LOCAL CURRENCY)	TAX  (TAP CURRENCY)	TAX  (LOCAL CURRENCY)	TAX REJECT  (TAP CURRENCY)	TAX REJECT  (LOCAL CURRENCY)	FINAL PROCESSED DATE	FINAL PROCESSED TIME	ERROR DESCRIPTION	TAP/RAP FILENAME	FILE  CURRENCY	LOCAL  CURRENCY	FIRST CALL DATE	FIRST CALL TIME	LAST CALL DATE	LAST CALL TIME
CDUSASGUSAUD55567	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:01	TI	7237425	25000	0	0	0	25000	698.08823	698.08823	0	0	0	0	0	0	698.10315	698.10315	0	0	0	0	3-Apr-17	1:18:15	-	-	USD	USD	2-Apr-17	6:54:18	2-Apr-17	18:53:34
CDUSASGUSAUD55566	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:01	TI	7238115	25000	0	0	0	25000	776.1547	776.1547	0	0	0	0	0	0	776.16824	776.16824	0	0	0	0	3-Apr-17	1:18:23	-	-	USD	USD	2-Apr-17	7:00:43	2-Apr-17	18:54:48
CDUSASGUSAUD55565	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:01	TI	7237409	25000	0	0	0	25000	777.61239	777.61239	0	0	0	0	0	0	777.62606	777.62606	0	0	0	0	3-Apr-17	1:18:30	-	-	USD	USD	2-Apr-17	7:04:29	2-Apr-17	18:52:06
CDUSASGUSAUD55564	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7239895	25000	0	0	0	25000	585.09792	585.09792	0	0	0	0	0	0	585.11208	585.11208	0	0	0	0	3-Apr-17	1:18:35	-	-	USD	USD	2-Apr-17	6:52:47	2-Apr-17	18:53:35
CDUSASGUSAUD55562	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7246065	25000	0	0	0	25000	525.55673	525.55673	0	0	0	0	0	0	525.5701	525.5701	0	0	0	0	3-Apr-17	1:18:37	-	-	USD	USD	2-Apr-17	6:55:58	2-Apr-17	18:52:23
CDUSASGUSAUD55563	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7229819	25000	0	0	0	25000	831.28982	831.28982	0	0	0	0	0	0	831.30358	831.30358	0	0	0	0	3-Apr-17	1:18:39	-	-	USD	USD	2-Apr-17	6:55:06	2-Apr-17	18:52:37
CDUSASGUSAUD55560	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7256253	25000	0	0	0	25000	749.70478	749.70478	0	0	0	0	0	0	749.7173	749.7173	0	0	0	0	3-Apr-17	1:18:42	-	-	USD	USD	2-Apr-17	7:00:00	2-Apr-17	18:51:23
CDUSASGUSAUD55561	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7246054	25000	0	0	0	25000	627.29308	627.29308	0	0	0	0	0	0	627.30646	627.30646	0	0	0	0	3-Apr-17	1:18:42	-	-	USD	USD	2-Apr-17	6:54:08	2-Apr-17	18:54:42
CDUSASGUSAUD55557	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7222006	25000	0	0	0	25000	813.29135	813.29135	0	0	0	0	0	0	813.30579	813.30579	0	0	0	0	3-Apr-17	1:18:42	-	-	USD	USD	2-Apr-17	6:56:22	2-Apr-17	18:53:22
CDUSASGUSAUD55568	USAUD	USASG	USAUD	File Pushed Successfully	3-Apr-17	1:17:02	TI	7237446	25000	0	0	0	25000	762.84681	762.84681	0	0	0	0	0	0	762.85976	762.85976	0	0	0	0	3-Apr-17	1:18:51	-	-	USD	USD	2-Apr-17	6:54:35	2-Apr-17	18:54:24
